"id","company_name","contact_f_name","address","city","state","postalcode","country","email","payment_methods","email.1","url","note"
1270,"J","J","J","A","J","A","A","J",2,"J","J","A"
1271,"K","K","K","B","K","A","A","K",3,"K","K","A"
1272,"L","L","L","C","L","A","A","L",4,"L","L","A"
1273,"M","M","M","A","A","A","A","M",1,"M","M","A"
1274,"N","N","N","B","B","A","A","N",2,"N","N","A"
1275,"O","O","O","C","C","A","A","O",3,"O","O","A"
1276,"P","P","P","A","D","A","A","P",4,"P","P","A"
1277,"Q","Q","Q","B","E","A","A","Q",1,"Q","Q","A"
1278,"R","R","R","C","F","A","A","R",2,"R","R","A"
1279,"S","S","S","A","G","A","A","S",3,"S","S","A"
1280,"T","T","T","B","H","A","A","T",4,"T","T","A"
1281,"A","A","A","C","I","A","A","A",1,"A","A","A"
1282,"B","B","B","A","J","A","A","B",2,"B","B","A"
1283,"C","C","C","B","K","A","A","C",3,"C","C","A"
1284,"D","D","D","C","L","A","A","D",4,"D","D","A"
1285,"E","E","E","A","A","A","A","E",1,"E","E","A"
1286,"F","F","F","B","B","A","A","F",2,"F","F","A"
1287,"G","G","G","C","C","A","A","G",3,"G","G","A"
1288,"H","H","H","A","D","A","A","H",4,"H","H","A"
1289,"I","I","I","B","E","A","A","I",1,"I","I","A"
1290,"J","J","J","C","F","A","A","J",2,"J","J","A"
1291,"K","K","K","A","G","A","A","K",3,"K","K","A"
1292,"L","L","L","B","H","A","A","L",4,"L","L","A"
1293,"M","M","M","C","I","A","A","M",1,"M","M","A"
1294,"N","N","N","A","J","A","A","N",2,"N","N","A"
1295,"O","O","O","B","K","A","A","O",3,"O","O","A"
1296,"P","P","P","C","L","A","A","P",4,"P","P","A"
1297,"Q","Q","Q","A","A","A","A","Q",1,"Q","Q","A"
1298,"R","R","R","B","B","A","A","R",2,"R","R","A"
1299,"S","S","S","C","C","A","A","S",3,"S","S","A"
1300,"T","T","T","A","D","A","A","T",4,"T","T","A"
1301,"A","A","A","B","E","A","A","A",1,"A","A","A"
1302,"B","B","B","C","F","A","A","B",2,"B","B","A"
1303,"C","C","C","A","G","A","A","C",3,"C","C","A"
1304,"D","D","D","B","H","A","A","D",4,"D","D","A"
1305,"E","E","E","C","I","A","A","E",1,"E","E","A"
1306,"F","F","F","A","J","A","A","F",2,"F","F","A"
1307,"G","G","G","B","K","A","A","G",3,"G","G","A"
1308,"H","H","H","C","L","A","A","H",4,"H","H","A"
1309,"I","I","I","A","A","A","A","I",1,"I","I","A"
1310,"J","J","J","B","B","A","A","J",2,"J","J","A"
1311,"K","K","K","C","C","A","A","K",3,"K","K","A"
1312,"L","L","L","A","D","A","A","L",4,"L","L","A"
1313,"M","M","M","B","E","A","A","M",1,"M","M","A"
1314,"N","N","N","C","F","A","A","N",2,"N","N","A"
1315,"O","O","O","A","G","A","A","O",3,"O","O","A"
1316,"P","P","P","B","H","A","A","P",4,"P","P","A"
1317,"Q","Q","Q","C","I","A","A","Q",1,"Q","Q","A"
1318,"R","R","R","A","J","A","A","R",2,"R","R","A"
1319,"S","S","S","B","K","A","A","S",3,"S","S","A"
1320,"T","T","T","C","L","A","A","T",4,"T","T","A"
1321,"A","A","A","A","A","A","A","A",1,"A","A","A"
1322,"B","B","B","B","B","A","A","B",2,"B","B","A"
1323,"C","C","C","C","C","A","A","C",3,"C","C","A"
1324,"D","D","D","A","D","A","A","D",4,"D","D","A"
1325,"E","E","E","B","E","A","A","E",1,"E","E","A"
1326,"F","F","F","C","F","A","A","F",2,"F","F","A"
1327,"G","G","G","A","G","A","A","G",3,"G","G","A"
1328,"H","H","H","B","H","A","A","H",4,"H","H","A"
1329,"I","I","I","C","I","A","A","I",1,"I","I","A"
1330,"J","J","J","A","J","A","A","J",2,"J","J","A"
1331,"K","K","K","B","K","A","A","K",3,"K","K","A"
1332,"L","L","L","C","L","A","A","L",4,"L","L","A"
1333,"M","M","M","A","A","A","A","M",1,"M","M","A"
1334,"N","N","N","B","B","A","A","N",2,"N","N","A"
1335,"O","O","O","C","C","A","A","O",3,"O","O","A"
1336,"P","P","P","A","D","A","A","P",4,"P","P","A"
1337,"Q","Q","Q","B","E","A","A","Q",1,"Q","Q","A"
1338,"R","R","R","C","F","A","A","R",2,"R","R","A"
1339,"S","S","S","A","G","A","A","S",3,"S","S","A"
1340,"T","T","T","B","H","A","A","T",4,"T","T","A"
1341,"A","A","A","C","I","A","A","A",1,"A","A","A"
1342,"B","B","B","A","J","A","A","B",2,"B","B","A"
1343,"C","C","C","B","K","A","A","C",3,"C","C","A"
1344,"D","D","D","C","L","A","A","D",4,"D","D","A"
1345,"E","E","E","A","A","A","A","E",1,"E","E","A"
1346,"F","F","F","B","B","A","A","F",2,"F","F","A"
1347,"G","G","G","C","C","A","A","G",3,"G","G","A"
1348,"H","H","H","A","D","A","A","H",4,"H","H","A"
1349,"I","I","I","B","E","A","A","I",1,"I","I","A"
1350,"J","J","J","C","F","A","A","J",2,"J","J","A"
1351,"K","K","K","A","G","A","A","K",3,"K","K","A"
1352,"L","L","L","B","H","A","A","L",4,"L","L","A"
1353,"M","M","M","C","I","A","A","M",1,"M","M","A"
1354,"N","N","N","A","J","A","A","N",2,"N","N","A"
1355,"O","O","O","B","K","A","A","O",3,"O","O","A"
1356,"P","P","P","C","L","A","A","P",4,"P","P","A"
1357,"Q","Q","Q","A","A","A","A","Q",1,"Q","Q","A"
1358,"R","R","R","B","B","A","A","R",2,"R","R","A"
1359,"S","S","S","C","C","A","A","S",3,"S","S","A"
1360,"T","T","T","A","D","A","A","T",4,"T","T","A"
1361,"A","A","A","B","E","A","A","A",1,"A","A","A"
1362,"B","B","B","C","F","A","A","B",2,"B","B","A"
1363,"C","C","C","A","G","A","A","C",3,"C","C","A"
1364,"D","D","D","B","H","A","A","D",4,"D","D","A"
1365,"E","E","E","C","I","A","A","E",1,"E","E","A"
1366,"F","F","F","A","J","A","A","F",2,"F","F","A"
1367,"G","G","G","B","K","A","A","G",3,"G","G","A"
1368,"H","H","H","C","L","A","A","H",4,"H","H","A"
1369,"I","I","I","A","A","A","A","I",1,"I","I","A"
1370,"J","J","J","B","B","A","A","J",2,"J","J","A"
1371,"K","K","K","C","C","A","A","K",3,"K","K","A"
1372,"L","L","L","A","D","A","A","L",4,"L","L","A"
1373,"M","M","M","B","E","A","A","M",1,"M","M","A"
1374,"N","N","N","C","F","A","A","N",2,"N","N","A"
1375,"O","O","O","A","G","A","A","O",3,"O","O","A"
1376,"P","P","P","B","H","A","A","P",4,"P","P","A"
1377,"Q","Q","Q","C","I","A","A","Q",1,"Q","Q","A"
1378,"R","R","R","A","J","A","A","R",2,"R","R","A"
1379,"S","S","S","B","K","A","A","S",3,"S","S","A"
1380,"T","T","T","C","L","A","A","T",4,"T","T","A"
1381,"A","A","A","A","A","A","A","A",1,"A","A","A"
1382,"B","B","B","B","B","A","A","B",2,"B","B","A"
1383,"C","C","C","C","C","A","A","C",3,"C","C","A"
1384,"D","D","D","A","D","A","A","D",4,"D","D","A"
1385,"E","E","E","B","E","A","A","E",1,"E","E","A"
1386,"F","F","F","C","F","A","A","F",2,"F","F","A"
1387,"G","G","G","A","G","A","A","G",3,"G","G","A"
1388,"H","H","H","B","H","A","A","H",4,"H","H","A"
1389,"I","I","I","C","I","A","A","I",1,"I","I","A"
1390,"J","J","J","A","J","A","A","J",2,"J","J","A"
1391,"K","K","K","B","K","A","A","K",3,"K","K","A"
1392,"L","L","L","C","L","A","A","L",4,"L","L","A"
1393,"M","M","M","A","A","A","A","M",1,"M","M","A"
1394,"N","N","N","B","B","A","A","N",2,"N","N","A"
1395,"O","O","O","C","C","A","A","O",3,"O","O","A"
1396,"P","P","P","A","D","A","A","P",4,"P","P","A"
1397,"Q","Q","Q","B","E","A","A","Q",1,"Q","Q","A"
1398,"R","R","R","C","F","A","A","R",2,"R","R","A"
1399,"S","S","S","A","G","A","A","S",3,"S","S","A"
1400,"T","T","T","B","H","A","A","T",4,"T","T","A"
1401,"A","A","A","C","I","A","A","A",1,"A","A","A"
1402,"B","B","B","A","J","A","A","B",2,"B","B","A"
1403,"C","C","C","B","K","A","A","C",3,"C","C","A"
1404,"D","D","D","C","L","A","A","D",4,"D","D","A"
1405,"E","E","E","A","A","A","A","E",1,"E","E","A"
1406,"F","F","F","B","B","A","A","F",2,"F","F","A"
1407,"G","G","G","C","C","A","A","G",3,"G","G","A"
1408,"H","H","H","A","D","A","A","H",4,"H","H","A"
1409,"I","I","I","B","E","A","A","I",1,"I","I","A"
1410,"J","J","J","C","F","A","A","J",2,"J","J","A"
1411,"K","K","K","A","G","A","A","K",3,"K","K","A"
1412,"L","L","L","B","H","A","A","L",4,"L","L","A"
1413,"M","M","M","C","I","A","A","M",1,"M","M","A"
1414,"N","N","N","A","J","A","A","N",2,"N","N","A"
1415,"O","O","O","B","K","A","A","O",3,"O","O","A"
1416,"P","P","P","C","L","A","A","P",4,"P","P","A"
1417,"Q","Q","Q","A","A","A","A","Q",1,"Q","Q","A"
1418,"R","R","R","B","B","A","A","R",2,"R","R","A"
1419,"S","S","S","C","C","A","A","S",3,"S","S","A"
1420,"T","T","T","A","D","A","A","T",4,"T","T","A"
1421,"A","A","A","B","E","A","A","A",1,"A","A","A"
1422,"B","B","B","C","F","A","A","B",2,"B","B","A"
1423,"C","C","C","A","G","A","A","C",3,"C","C","A"
1424,"D","D","D","B","H","A","A","D",4,"D","D","A"
1425,"E","E","E","C","I","A","A","E",1,"E","E","A"
1426,"F","F","F","A","J","A","A","F",2,"F","F","A"
1427,"G","G","G","B","K","A","A","G",3,"G","G","A"
1428,"H","H","H","C","L","A","A","H",4,"H","H","A"
1429,"I","I","I","A","A","A","A","I",1,"I","I","A"
1430,"J","J","J","B","B","A","A","J",2,"J","J","A"
1431,"K","K","K","C","C","A","A","K",3,"K","K","A"
1432,"L","L","L","A","D","A","A","L",4,"L","L","A"
1433,"M","M","M","B","E","A","A","M",1,"M","M","A"
1434,"N","N","N","C","F","A","A","N",2,"N","N","A"
1435,"O","O","O","A","G","A","A","O",3,"O","O","A"
1436,"P","P","P","B","H","A","A","P",4,"P","P","A"
1437,"Q","Q","Q","C","I","A","A","Q",1,"Q","Q","A"
1438,"R","R","R","A","J","A","A","R",2,"R","R","A"
1439,"S","S","S","B","K","A","A","S",3,"S","S","A"
1440,"T","T","T","C","L","A","A","T",4,"T","T","A"
1441,"A","A","A","A","A","A","A","A",1,"A","A","A"
1442,"B","B","B","B","B","A","A","B",2,"B","B","A"
1443,"C","C","C","C","C","A","A","C",3,"C","C","A"
1444,"D","D","D","A","D","A","A","D",4,"D","D","A"
1445,"E","E","E","B","E","A","A","E",1,"E","E","A"
1446,"F","F","F","C","F","A","A","F",2,"F","F","A"
1447,"G","G","G","A","G","A","A","G",3,"G","G","A"
1448,"H","H","H","B","H","A","A","H",4,"H","H","A"
1449,"I","I","I","C","I","A","A","I",1,"I","I","A"
1450,"J","J","J","A","J","A","A","J",2,"J","J","A"
1451,"K","K","K","B","K","A","A","K",3,"K","K","A"
1452,"L","L","L","C","L","A","A","L",4,"L","L","A"
1453,"M","M","M","A","A","A","A","M",1,"M","M","A"
1454,"N","N","N","B","B","A","A","N",2,"N","N","A"
1455,"O","O","O","C","C","A","A","O",3,"O","O","A"
1456,"P","P","P","A","D","A","A","P",4,"P","P","A"
1457,"Q","Q","Q","B","E","A","A","Q",1,"Q","Q","A"
1458,"R","R","R","C","F","A","A","R",2,"R","R","A"
1459,"S","S","S","A","G","A","A","S",3,"S","S","A"
1460,"T","T","T","B","H","A","A","T",4,"T","T","A"
1461,"A","A","A","C","I","A","A","A",1,"A","A","A"
1462,"B","B","B","A","J","A","A","B",2,"B","B","A"
1463,"C","C","C","B","K","A","A","C",3,"C","C","A"
1464,"D","D","D","C","L","A","A","D",4,"D","D","A"
1465,"E","E","E","A","A","A","A","E",1,"E","E","A"
1466,"F","F","F","B","B","A","A","F",2,"F","F","A"
1467,"G","G","G","C","C","A","A","G",3,"G","G","A"
1468,"H","H","H","A","D","A","A","H",4,"H","H","A"
1469,"I","I","I","B","E","A","A","I",1,"I","I","A"
1470,"J","J","J","C","F","A","A","J",2,"J","J","A"
1471,"K","K","K","A","G","A","A","K",3,"K","K","A"
1472,"L","L","L","B","H","A","A","L",4,"L","L","A"
1473,"M","M","M","C","I","A","A","M",1,"M","M","A"
1474,"N","N","N","A","J","A","A","N",2,"N","N","A"
1475,"O","O","O","B","K","A","A","O",3,"O","O","A"
1476,"P","P","P","C","L","A","A","P",4,"P","P","A"
1477,"Q","Q","Q","A","A","A","A","Q",1,"Q","Q","A"
1478,"R","R","R","B","B","A","A","R",2,"R","R","A"
1479,"S","S","S","C","C","A","A","S",3,"S","S","A"
1480,"T","T","T","A","D","A","A","T",4,"T","T","A"
1481,"A","A","A","B","E","A","A","A",1,"A","A","A"
1482,"B","B","B","C","F","A","A","B",2,"B","B","A"
1483,"C","C","C","A","G","A","A","C",3,"C","C","A"
1484,"D","D","D","B","H","A","A","D",4,"D","D","A"
1485,"E","E","E","C","I","A","A","E",1,"E","E","A"
1486,"F","F","F","A","J","A","A","F",2,"F","F","A"
1487,"G","G","G","B","K","A","A","G",3,"G","G","A"
1488,"H","H","H","C","L","A","A","H",4,"H","H","A"
1489,"I","I","I","A","A","A","A","I",1,"I","I","A"
1490,"J","J","J","B","B","A","A","J",2,"J","J","A"
1491,"K","K","K","C","C","A","A","K",3,"K","K","A"
1492,"L","L","L","A","D","A","A","L",4,"L","L","A"
1493,"M","M","M","B","E","A","A","M",1,"M","M","A"
1494,"N","N","N","C","F","A","A","N",2,"N","N","A"
1495,"O","O","O","A","G","A","A","O",3,"O","O","A"
1496,"P","P","P","B","H","A","A","P",4,"P","P","A"
1497,"Q","Q","Q","C","I","A","A","Q",1,"Q","Q","A"
1498,"R","R","R","A","J","A","A","R",2,"R","R","A"
1499,"S","S","S","B","K","A","A","S",3,"S","S","A"
1500,"T","T","T","C","L","A","A","T",4,"T","T","A"
1501,"A","A","A","A","A","A","A","A",1,"A","A","A"
1502,"B","B","B","B","B","A","A","B",2,"B","B","A"
1503,"C","C","C","C","C","A","A","C",3,"C","C","A"
1504,"D","D","D","A","D","A","A","D",4,"D","D","A"
1505,"E","E","E","B","E","A","A","E",1,"E","E","A"
1506,"F","F","F","C","F","A","A","F",2,"F","F","A"
1507,"G","G","G","A","G","A","A","G",3,"G","G","A"
1508,"H","H","H","B","H","A","A","H",4,"H","H","A"
1509,"I","I","I","C","I","A","A","I",1,"I","I","A"
1510,"J","J","J","A","J","A","A","J",2,"J","J","A"
1511,"K","K","K","B","K","A","A","K",3,"K","K","A"
1512,"L","L","L","C","L","A","A","L",4,"L","L","A"
1513,"M","M","M","A","A","A","A","M",1,"M","M","A"
1514,"N","N","N","B","B","A","A","N",2,"N","N","A"
1515,"O","O","O","C","C","A","A","O",3,"O","O","A"
1516,"P","P","P","A","D","A","A","P",4,"P","P","A"
1517,"Q","Q","Q","B","E","A","A","Q",1,"Q","Q","A"
1518,"R","R","R","C","F","A","A","R",2,"R","R","A"
1519,"S","S","S","A","G","A","A","S",3,"S","S","A"
1520,"T","T","T","B","H","A","A","T",4,"T","T","A"
1521,"A","A","A","C","I","A","A","A",1,"A","A","A"
1522,"B","B","B","A","J","A","A","B",2,"B","B","A"
1523,"C","C","C","B","K","A","A","C",3,"C","C","A"
1524,"D","D","D","C","L","A","A","D",4,"D","D","A"
1525,"E","E","E","A","A","A","A","E",1,"E","E","A"
1526,"F","F","F","B","B","A","A","F",2,"F","F","A"
1527,"G","G","G","C","C","A","A","G",3,"G","G","A"
1528,"H","H","H","A","D","A","A","H",4,"H","H","A"
1529,"I","I","I","B","E","A","A","I",1,"I","I","A"
1530,"J","J","J","C","F","A","A","J",2,"J","J","A"
1531,"K","K","K","A","G","A","A","K",3,"K","K","A"
1532,"L","L","L","B","H","A","A","L",4,"L","L","A"
1533,"M","M","M","C","I","A","A","M",1,"M","M","A"
1534,"N","N","N","A","J","A","A","N",2,"N","N","A"
1535,"O","O","O","B","K","A","A","O",3,"O","O","A"
1536,"P","P","P","C","L","A","A","P",4,"P","P","A"
1537,"Q","Q","Q","A","A","A","A","Q",1,"Q","Q","A"
1538,"R","R","R","B","B","A","A","R",2,"R","R","A"
1539,"S","S","S","C","C","A","A","S",3,"S","S","A"
1540,"T","T","T","A","D","A","A","T",4,"T","T","A"
1541,"A","A","A","B","E","A","A","A",1,"A","A","A"
1542,"B","B","B","C","F","A","A","B",2,"B","B","A"
1543,"C","C","C","A","G","A","A","C",3,"C","C","A"
1544,"D","D","D","B","H","A","A","D",4,"D","D","A"
1545,"E","E","E","C","I","A","A","E",1,"E","E","A"
1546,"F","F","F","A","J","A","A","F",2,"F","F","A"
1547,"G","G","G","B","K","A","A","G",3,"G","G","A"
1548,"H","H","H","C","L","A","A","H",4,"H","H","A"
1549,"I","I","I","A","A","A","A","I",1,"I","I","A"
1550,"J","J","J","B","B","A","A","J",2,"J","J","A"
1551,"K","K","K","C","C","A","A","K",3,"K","K","A"
1552,"L","L","L","A","D","A","A","L",4,"L","L","A"
1553,"M","M","M","B","E","A","A","M",1,"M","M","A"
1554,"N","N","N","C","F","A","A","N",2,"N","N","A"
1555,"O","O","O","A","G","A","A","O",3,"O","O","A"
1556,"P","P","P","B","H","A","A","P",4,"P","P","A"
1557,"Q","Q","Q","C","I","A","A","Q",1,"Q","Q","A"
1558,"R","R","R","A","J","A","A","R",2,"R","R","A"
1559,"S","S","S","B","K","A","A","S",3,"S","S","A"
1560,"T","T","T","C","L","A","A","T",4,"T","T","A"
1561,"A","A","A","A","A","A","A","A",1,"A","A","A"
1562,"B","B","B","B","B","A","A","B",2,"B","B","A"
1563,"C","C","C","C","C","A","A","C",3,"C","C","A"
1564,"D","D","D","A","D","A","A","D",4,"D","D","A"
1565,"E","E","E","B","E","A","A","E",1,"E","E","A"
1566,"F","F","F","C","F","A","A","F",2,"F","F","A"
1567,"G","G","G","A","G","A","A","G",3,"G","G","A"
1568,"H","H","H","B","H","A","A","H",4,"H","H","A"
1569,"I","I","I","C","I","A","A","I",1,"I","I","A"
1570,"J","J","J","A","J","A","A","J",2,"J","J","A"
1571,"K","K","K","B","K","A","A","K",3,"K","K","A"
1572,"L","L","L","C","L","A","A","L",4,"L","L","A"
1573,"M","M","M","A","A","A","A","M",1,"M","M","A"
1574,"N","N","N","B","B","A","A","N",2,"N","N","A"
1575,"O","O","O","C","C","A","A","O",3,"O","O","A"
1576,"P","P","P","A","D","A","A","P",4,"P","P","A"
1577,"Q","Q","Q","B","E","A","A","Q",1,"Q","Q","A"
1578,"R","R","R","C","F","A","A","R",2,"R","R","A"
1579,"S","S","S","A","G","A","A","S",3,"S","S","A"
1580,"T","T","T","B","H","A","A","T",4,"T","T","A"
1581,"A","A","A","C","I","A","A","A",1,"A","A","A"
1582,"B","B","B","A","J","A","A","B",2,"B","B","A"
1583,"C","C","C","B","K","A","A","C",3,"C","C","A"
1584,"D","D","D","C","L","A","A","D",4,"D","D","A"
1585,"E","E","E","A","A","A","A","E",1,"E","E","A"
1586,"F","F","F","B","B","A","A","F",2,"F","F","A"
1587,"G","G","G","C","C","A","A","G",3,"G","G","A"
1588,"H","H","H","A","D","A","A","H",4,"H","H","A"
1589,"I","I","I","B","E","A","A","I",1,"I","I","A"
1590,"J","J","J","C","F","A","A","J",2,"J","J","A"
1591,"K","K","K","A","G","A","A","K",3,"K","K","A"
1592,"L","L","L","B","H","A","A","L",4,"L","L","A"
1593,"M","M","M","C","I","A","A","M",1,"M","M","A"
1594,"N","N","N","A","J","A","A","N",2,"N","N","A"
1595,"O","O","O","B","K","A","A","O",3,"O","O","A"
1596,"P","P","P","C","L","A","A","P",4,"P","P","A"
1597,"Q","Q","Q","A","A","A","A","Q",1,"Q","Q","A"
1598,"R","R","R","B","B","A","A","R",2,"R","R","A"
1599,"S","S","S","C","C","A","A","S",3,"S","S","A"
1600,"T","T","T","A","D","A","A","T",4,"T","T","A"
1601,"A","A","A","B","E","A","A","A",1,"A","A","A"
1602,"B","B","B","C","F","A","A","B",2,"B","B","A"
1603,"C","C","C","A","G","A","A","C",3,"C","C","A"
1604,"D","D","D","B","H","A","A","D",4,"D","D","A"
1605,"E","E","E","C","I","A","A","E",1,"E","E","A"
1606,"F","F","F","A","J","A","A","F",2,"F","F","A"
1607,"G","G","G","B","K","A","A","G",3,"G","G","A"
1608,"H","H","H","C","L","A","A","H",4,"H","H","A"
1609,"I","I","I","A","A","A","A","I",1,"I","I","A"
1610,"J","J","J","B","B","A","A","J",2,"J","J","A"
1611,"K","K","K","C","C","A","A","K",3,"K","K","A"
1612,"L","L","L","A","D","A","A","L",4,"L","L","A"
1613,"M","M","M","B","E","A","A","M",1,"M","M","A"
1614,"N","N","N","C","F","A","A","N",2,"N","N","A"
1615,"O","O","O","A","G","A","A","O",3,"O","O","A"
1616,"P","P","P","B","H","A","A","P",4,"P","P","A"
1617,"Q","Q","Q","C","I","A","A","Q",1,"Q","Q","A"
1618,"R","R","R","A","J","A","A","R",2,"R","R","A"
1619,"S","S","S","B","K","A","A","S",3,"S","S","A"
1620,"T","T","T","C","L","A","A","T",4,"T","T","A"
1621,"A","A","A","A","A","A","A","A",1,"A","A","A"
1622,"B","B","B","B","B","A","A","B",2,"B","B","A"
1623,"C","C","C","C","C","A","A","C",3,"C","C","A"
1624,"D","D","D","A","D","A","A","D",4,"D","D","A"
1625,"E","E","E","B","E","A","A","E",1,"E","E","A"
1626,"F","F","F","C","F","A","A","F",2,"F","F","A"
1627,"G","G","G","A","G","A","A","G",3,"G","G","A"
1628,"H","H","H","B","H","A","A","H",4,"H","H","A"
1629,"I","I","I","C","I","A","A","I",1,"I","I","A"
1630,"J","J","J","A","J","A","A","J",2,"J","J","A"
1631,"K","K","K","B","K","A","A","K",3,"K","K","A"
1632,"L","L","L","C","L","A","A","L",4,"L","L","A"
1633,"M","M","M","A","A","A","A","M",1,"M","M","A"
1634,"N","N","N","B","B","A","A","N",2,"N","N","A"
1635,"O","O","O","C","C","A","A","O",3,"O","O","A"
1636,"P","P","P","A","D","A","A","P",4,"P","P","A"
1637,"Q","Q","Q","B","E","A","A","Q",1,"Q","Q","A"
1638,"R","R","R","C","F","A","A","R",2,"R","R","A"
1639,"S","S","S","A","G","A","A","S",3,"S","S","A"
1640,"T","T","T","B","H","A","A","T",4,"T","T","A"
1641,"A","A","A","C","I","A","A","A",1,"A","A","A"
1642,"B","B","B","A","J","A","A","B",2,"B","B","A"
1643,"C","C","C","B","K","A","A","C",3,"C","C","A"
1644,"D","D","D","C","L","A","A","D",4,"D","D","A"
1645,"E","E","E","A","A","A","A","E",1,"E","E","A"
1646,"F","F","F","B","B","A","A","F",2,"F","F","A"
1647,"G","G","G","C","C","A","A","G",3,"G","G","A"
1648,"H","H","H","A","D","A","A","H",4,"H","H","A"
1649,"I","I","I","B","E","A","A","I",1,"I","I","A"
1650,"J","J","J","C","F","A","A","J",2,"J","J","A"
1651,"K","K","K","A","G","A","A","K",3,"K","K","A"
1652,"L","L","L","B","H","A","A","L",4,"L","L","A"
1653,"M","M","M","C","I","A","A","M",1,"M","M","A"
1654,"N","N","N","A","J","A","A","N",2,"N","N","A"
1655,"O","O","O","B","K","A","A","O",3,"O","O","A"
1656,"P","P","P","C","L","A","A","P",4,"P","P","A"
1657,"Q","Q","Q","A","A","A","A","Q",1,"Q","Q","A"
1658,"R","R","R","B","B","A","A","R",2,"R","R","A"
1659,"S","S","S","C","C","A","A","S",3,"S","S","A"
1660,"T","T","T","A","D","A","A","T",4,"T","T","A"
1661,"A","A","A","B","E","A","A","A",1,"A","A","A"
1662,"B","B","B","C","F","A","A","B",2,"B","B","A"
1663,"C","C","C","A","G","A","A","C",3,"C","C","A"
1664,"D","D","D","B","H","A","A","D",4,"D","D","A"
1665,"E","E","E","C","I","A","A","E",1,"E","E","A"
1666,"F","F","F","A","J","A","A","F",2,"F","F","A"
1667,"G","G","G","B","K","A","A","G",3,"G","G","A"
1668,"H","H","H","C","L","A","A","H",4,"H","H","A"
1669,"I","I","I","A","A","A","A","I",1,"I","I","A"
1670,"J","J","J","B","B","A","A","J",2,"J","J","A"
1671,"K","K","K","C","C","A","A","K",3,"K","K","A"
1672,"L","L","L","A","D","A","A","L",4,"L","L","A"
1673,"M","M","M","B","E","A","A","M",1,"M","M","A"
1674,"N","N","N","C","F","A","A","N",2,"N","N","A"
1675,"O","O","O","A","G","A","A","O",3,"O","O","A"
1676,"P","P","P","B","H","A","A","P",4,"P","P","A"
1677,"Q","Q","Q","C","I","A","A","Q",1,"Q","Q","A"
1678,"R","R","R","A","J","A","A","R",2,"R","R","A"
1679,"S","S","S","B","K","A","A","S",3,"S","S","A"
1680,"T","T","T","C","L","A","A","T",4,"T","T","A"
1681,"A","A","A","A","A","A","A","A",1,"A","A","A"
1682,"B","B","B","B","B","A","A","B",2,"B","B","A"
1683,"C","C","C","C","C","A","A","C",3,"C","C","A"
1684,"D","D","D","A","D","A","A","D",4,"D","D","A"
1685,"E","E","E","B","E","A","A","E",1,"E","E","A"
1686,"F","F","F","C","F","A","A","F",2,"F","F","A"
1687,"G","G","G","A","G","A","A","G",3,"G","G","A"
1688,"H","H","H","B","H","A","A","H",4,"H","H","A"
1689,"I","I","I","C","I","A","A","I",1,"I","I","A"
1690,"J","J","J","A","J","A","A","J",2,"J","J","A"
1691,"K","K","K","B","K","A","A","K",3,"K","K","A"
1692,"L","L","L","C","L","A","A","L",4,"L","L","A"
1693,"M","M","M","A","A","A","A","M",1,"M","M","A"
1694,"N","N","N","B","B","A","A","N",2,"N","N","A"
1695,"O","O","O","C","C","A","A","O",3,"O","O","A"
1696,"P","P","P","A","D","A","A","P",4,"P","P","A"
1697,"Q","Q","Q","B","E","A","A","Q",1,"Q","Q","A"
1698,"R","R","R","C","F","A","A","R",2,"R","R","A"
1699,"S","S","S","A","G","A","A","S",3,"S","S","A"
1700,"T","T","T","B","H","A","A","T",4,"T","T","A"
1701,"A","A","A","C","I","A","A","A",1,"A","A","A"
1702,"B","B","B","A","J","A","A","B",2,"B","B","A"
1703,"C","C","C","B","K","A","A","C",3,"C","C","A"
1704,"D","D","D","C","L","A","A","D",4,"D","D","A"
1705,"E","E","E","A","A","A","A","E",1,"E","E","A"
1706,"F","F","F","B","B","A","A","F",2,"F","F","A"
1707,"G","G","G","C","C","A","A","G",3,"G","G","A"
1708,"H","H","H","A","D","A","A","H",4,"H","H","A"
1709,"I","I","I","B","E","A","A","I",1,"I","I","A"
1710,"J","J","J","C","F","A","A","J",2,"J","J","A"
1711,"K","K","K","A","G","A","A","K",3,"K","K","A"
1712,"L","L","L","B","H","A","A","L",4,"L","L","A"
1713,"M","M","M","C","I","A","A","M",1,"M","M","A"
1714,"N","N","N","A","J","A","A","N",2,"N","N","A"
1715,"O","O","O","B","K","A","A","O",3,"O","O","A"
1716,"P","P","P","C","L","A","A","P",4,"P","P","A"
1717,"Q","Q","Q","A","A","A","A","Q",1,"Q","Q","A"
1718,"R","R","R","B","B","A","A","R",2,"R","R","A"
1719,"S","S","S","C","C","A","A","S",3,"S","S","A"
1720,"T","T","T","A","D","A","A","T",4,"T","T","A"
1721,"A","A","A","B","E","A","A","A",1,"A","A","A"
1722,"B","B","B","C","F","A","A","B",2,"B","B","A"
1723,"C","C","C","A","G","A","A","C",3,"C","C","A"
1724,"D","D","D","B","H","A","A","D",4,"D","D","A"
1725,"E","E","E","C","I","A","A","E",1,"E","E","A"
1726,"F","F","F","A","J","A","A","F",2,"F","F","A"
1727,"G","G","G","B","K","A","A","G",3,"G","G","A"
1728,"H","H","H","C","L","A","A","H",4,"H","H","A"
1729,"I","I","I","A","A","A","A","I",1,"I","I","A"
